rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,label,user_timestamp,user_review_burst
5,no offensive perfumy smell,"This is wonderful shampoo.  I'm so glad I tried it. I'm going to stick with it.  I hate perfumes in my shampoo and this has only the slightest citrus smell.  VERY minor smell.  I have very fine, short hair so I was looking for something that wasn't a big heavy glop of gunk.  The shampoo got my hair really clean and the conditioner left my hair really soft.  And it's really inexpensive as well.  I recommend it highly.",[],B071S98JST,B071S98JST,AGO7LLH5IX4DNU65URZGOBBUG6UQ,10/18/2020 19:40,2,TRUE,0,99999,99999
5,Best hair tool!,So easy to use. Was about to dry and fluff my hair in minutes,[],B08XWMC536,B08XWMC536,AFSITKEKXHVGUTOIV53UZA27GR3A,4/24/2022 22:40,0,TRUE,0,99999,99999
1,The lavendar smell one is way better. I won't purchase this one again,Eh smell... and doesn't last. The lavendar smell one is way better. I won't purchase this one again.,[],B001E77MMC,B003VC6V7K,AFSXZINHQZPK6X45DP6J7D5SUTLQ,5/31/2018 23:40,1,TRUE,0,99999,99999
3,Okay,"These lashes are okay I cut them into individual pieces to apply, the style isn’t for me and will not be purchasing again",[],B07W57P2XG,B07W57P2XG,AGE4JW3XETNFM3N6REM6LQX7WDSQ,4/29/2020 14:20,0,TRUE,0,33750000,16924999.5
5,"Small, compact, great for hand sanitizers",Used for hand sanitizers and worked great!,[],B0872VFP6K,B0872VFP6K,AG5DIPAIHM3XMLHRG567VVUBMJHA,7/14/2020 18:06,0,TRUE,1,99999,99999
1,not impressed,"does not apply and look as it states, I have lot's of lashes, so I expected the product to play up what I have, but it did not. Not even close",[],B07DSC6TWW,B07DSC6TWW,AFB2VFHDE7H2UVE4P3FUISLHXO5Q,12/29/2018 5:06,1,TRUE,0,99999,99999
5,Love it!!!,Its expensive but worth it.  You don't have to use much so it can last a long time,[],B072MRPBGF,B072MRPBGF,AFWAJ7HXWEFUQD2SNJ2QOEZR3DPQ,2/6/2020 11:53,0,TRUE,0,99999,99999
1,Arrived half empty and leaked all over the box it was sent in and spray bottle defective,"Which is a lot to take in for an item I cannot return. $15 for half a spray bottle that doesn't work is a disgrace. Smells fine, I re-ordered (this time the larger size) because I liked the scent. Feel ripped off with such poor care taken in sending this product.",[],B08DM9N8XQ,B0B19442P6,AHGCEHYV4XU4VAEGYGDMZHYZDPOQ,2/28/2022 17:40,0,TRUE,0,99999,99999
5,Five Stars,"I liked the brush, it does the job.",[],B00R1TAN7I,B00R1TAN7I,AGCT34ORU23F46ETJU4OSLGAU7MA,9/27/2015 7:46,0,TRUE,0,99999,99999
2,Weird,I purchased the Lume Bay Rum scent. I opened and used it on freshly clean armpits and I now smell like rotting Christmas tree (really the only way I can describe it).<br /><br />Time will tell how long my armpits will stay smelling this way (longevity) and whether it will cause any irritation etc.<br /><br />I cannot recommend (at least) this scent. I wonder if other scents are better?,[],B08HWH55LX,B08HWH55LX,AEVTE3D2GQV2VNDOK3BW7NZT4ACA,1/27/2022 16:13,0,TRUE,0,99999,99999
5,Great product,Great size,[],B01GQ8Q9EU,B01GQ8Q9EU,AHVD4B2IQDJUKBZJD5X4EIKNYB5A,7/16/2018 3:00,0,TRUE,1,99999,99999
1,Good,Photo doesn't show how bright it is.,[],BPO5CG5A8B,BPO5CG5A8B,KCMRCPHT102F2LD5,7/3/2024 9:46,0,FALSE,1,99999,99999
5,Good product in good condition,Came in good condition and on time.,[],B00J88E1MI,B00J88E1MI,AE55KGOF2YMYDFYK4JJZ2RLBAUVQ,10/7/2020 19:46,0,TRUE,1,99999,99999
5,Wonderful,Would buy again!,[],BHA5W19OWL,BHA5W19OWL,VW6JPHXRV5S722E4,1/7/2021 6:13,0,FALSE,1,99999,99999
3,The container is tiny,"This mustache wax did the job of holding my mustache and beard in place. The problem is, I had a lot of beard and mustache but the amount of wax was small for the money. The container was almost the size of a lip stick container.<br />I have since cut off all my facial hair as it was just getting too much to deal with. I have to color it and that is a messy objective in and of itself. I was getting more color on my face then on my beard. The wax couldn’t fix this but, oh well…",[],B086C61XHH,B086C61XHH,AFX4SUINRVBGZHZJHWPCC23DAQFA,12/16/2022 3:06,0,TRUE,0,99999,99999
5,Arrived on time,Love the hair,[],B07JDJ68CQ,B07JDJ68CQ,AFAEZGJRGIWFRVSZSITNGLE4MSPQ,12/11/2018 20:26,1,TRUE,1,99999,99999
3,Three Stars,Very cute Koala and Flower bows.,[],B00L4JJKH0,B00L4JJKH0,AF6GVMIFWUPZ7RIYNNB4CRRFSQSQ,2/1/2016 18:06,0,TRUE,1,99999,99999
5,Love it,"My daughter uses this for her curly hair, this product makes it so easy to comb through.  She loves this product.",[],B004Z90XMM,B004Z90XMM,AFNWKBSA3QRSV46CQMAEBVTCTIHA,12/19/2012 12:26,0,TRUE,1,99999,99999
5,Best Shampoo for Thin Hair,Best shampoo and conditioner ever!,[],B07T2L6JQR,B07T2L6JQR,AHR5A75BOTLIPBIEUBCZGXR6H3DA,12/8/2019 18:33,0,TRUE,1,99999,99999
1,Hard pass,"Yes, decided to get a ""cheap"" wig. . .  You get what you pay for, but the use of large plastic piece as part of the wig cap on front of the hairline makes wearing this extremely uncomfortable.",[],B08NHYWM6V,B08NHYWM6V,AF2JDCZPMNQQVJCMM7TY4VY246PQ,4/7/2021 18:26,2,TRUE,0,99999,99999
5,Makes my hair shiny and healthy,Used it on my Granddaughters just washed hair. No tangles and no tears.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/81WRFRsFsPL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81WRFRsFsPL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/81WRFRsFsPL._SL256_.jpg'}]",B08Z1J2FD1,B08Z1J2FD1,AH7L2TKYJS2U2I73PGFBNFGJFNQQ,8/20/2021 0:40,0,TRUE,0,99999,99999
5,Best Lashes Ever!!,Love them wish they still sold them in the stores,[],B072YJZJGR,B072YJZJGR,AEFTU766QXAEJKTMKPJB2L7O4Q5A,6/13/2019 4:26,0,TRUE,0,99999,99999
1,One Star,"junk, cheaply made",[],B000O5XP3U,B000O5XP3U,AHHOJUROM26XOOAMWEZL2KSOIZYQ,7/16/2018 11:20,0,TRUE,1,99999,99999
5,Pretty mink lashes,I loved these no lie there so perfect for the price and you also get a cute little gift with them 😊,[],B07FV731Q6,B0B68NKTC4,AHQ5VABL5Y4I37URYBFRMG2AAORA,11/7/2019 15:20,0,TRUE,0,99999,99999
5,Works well,This brand is thick and works well to protect from the sun. I found it first at Mayo Clinic and I trust them. I have bought about 6 bottles so far this summer.,[],B09527LPT3,B09527LPT3,AEMAP5DCUHU324ZNMNQNYTQRBO5A,8/23/2022 18:40,0,TRUE,0,99999,99999
1,Highly recommend,Best ever!,[],BL6ZAKYIWT,BL6ZAKYIWT,E1OCJXZEFLI4OFWW,12/20/2021 11:33,0,FALSE,1,99999,99999
5,Five Stars,Fun,[],B01D5HEJEC,B07J3H27BJ,AG354X4EYODGCXUFZIRG2R3PB56A,9/26/2017 18:20,0,TRUE,1,99999,99999
5,Great for the price!,These are great razors and last a long time.,[],B01N5WHE2C,B01N5WHE2C,AHG4XPHRY6PQBHWPXXHBRSWX65OQ,3/9/2019 2:53,0,TRUE,0,99999,99999
1,Great,Best purchase ever!!!,[],BGOASVX0E4,BGOASVX0E4,V1ZBBMYTOXNF99RS,11/14/2023 22:13,0,FALSE,1,99999,99999
5,ManiPedi Set on the go!,"Happy that I made this purchase! The kid has everything you need in it. I love how the case comes in different designs. If you like me, and find yourself needing a file while out or Clippers, this is a perfect day to fit in your purse.",[],B019FT4Q06,B019FT4Q06,AFU35FFZRR4EYJRGFT4MPH3KNZAQ,5/21/2020 11:20,0,TRUE,0,99999,99999
2,Shampoo poorly closed,"To be honest, I have bought this shampoo many times and this is the first time it happens. The bottle wasn’t completely closed so some shampoo had dripped. You could even see shampoo on the paper where it comes wrapped of. The thing is that I bought two, and both came in the same conditions even though they were individually wrapped. It wasn’t a lot that it dripped but still if I’m paying $28 I want a perfect product.",[],B077TBSVK8,B077TBSVK8,AHU5TWXWNL5WEBGUK3GKQLUWBP2Q,2/8/2023 21:00,0,TRUE,1,99999,99999
5,Highly recommend,Attached screenshot is inaccurate.,[],BD6LUK95QD,BD6LUK95QD,D45X6D9I3OK26VMG,12/2/2022 16:53,0,FALSE,1,99999,99999
5,Good buy,Fits under a mask perfectly,[],B08DKG8TJJ,B08DKG8TJJ,AHUMDBXLOA5GYXROZ2D7NT7JLGKQ,1/14/2021 18:46,0,TRUE,1,99999,99999
5,so it smells pleasant but not like carrots as you might think,"A lovely authentic oil.  This is the real deal, so it smells pleasant but not like carrots as you might think.",[],B00J9PPN8Q,B00J9PPN8Q,AHA3ZMVLLIRWGPDB3HN4AMFDVCPA,3/21/2015 20:33,3,TRUE,0,99999,99999
5,EVERYTHING you could need,There isn't a tool you could possibly need after buying this. It's loaded with everything you could want. This goes in our suitcase when we travel.,[],B07HWX4TMM,B07HWX4TMM,AGGGBF7FEJY3TDMFYZCFRTEHRXCQ,1/11/2019 23:40,0,FALSE,1,99999,99999
5,Five Stars,prefer the shorter wider felt tip on the brush,[],B01E1SLP6Y,B01E1SLP6Y,AESQKWYBXZCAT3PE64QXXOVRXM7Q,1/12/2017 14:06,0,TRUE,0,99999,99999
5,Good product,Good product,[],B078MPG77R,B078MPG77R,AHCK24O6XSKUN6NOKHXWCS57Z5VA,7/3/2018 1:06,0,TRUE,1,99999,99999
5,Five Stars,its a good product,[],B01BJCLNIA,B01BJCLNIA,AHRCURDT7IOFRPVMCBXW3ELHQFKA,3/22/2018 23:06,0,TRUE,1,99999,99999
1,Did not work for me,Return the first day,[],B0886H4MP9,B0886H4MP9,AEDG4NWZ552UZHK4IPU6WQJKKZZA,11/1/2020 0:20,0,TRUE,1,99999,99999
4,I love these masks,"I have bought a number of these masks. They are breathable and fit well with the adjustable straps. I don't want to try any others because I fear they won't be as good as these are. Highly recommended. I gave it 4 stars because I want the option to buy three masks of the same color. I don't care for the color of all the masks in the three pack, so I won't use some of them and they go to waste.",[],B08BS3TC3J,B08BS3TC3J,AETDN5RR7DWYGVK4LPR5ISWNK7CA,10/24/2020 14:33,0,FALSE,1,99999,99999
3,Good but not great,Great color match with good coverage. The applicator gets messy quickly and the product when pressing down comes onto the back of the sponge applicator. Also very hard to tell how much product is left you can’t see it like you would in other products.,[],B077WLCG6D,B089NJG212,AFAS6GAFJRGPJPL7B6AVNDBOWOJQ,5/31/2021 16:53,0,TRUE,1,99999,99999
3,"Good for mild redness, not severe","I tested this is two areas. I had a small pimple on my forehead but it was causing redness around it. This powder/cream hid it pretty well and evened out my skintone better. However, the other area I tried was my chest. I have permanent redness at the top of my chest from getting sunburned too many times. For that area, it did nothing at all. It's not super red, it's just a larger area. That was really the reason I wanted to try this product; for my chest. I suppose I can use it for the occasional small blemishes as long as they are mild.",[],B0B4MR9BXN,B0B4MR9BXN,AGNVKXHFTQ5WSP7TRRLSTH5APJNA,8/20/2022 7:20,0,FALSE,1,99999,99999
5,As descrubed,"You get a lot of them, all black. They are what I needed",[],B07M6Z185S,B07M6Z185S,AHGG4IHQLLYLLFKUTA7K4HAYMT3Q,8/1/2021 9:26,0,TRUE,0,99999,99999
1,Nice,Best ever!,[],BW3HDUEH02,BW3HDUEH02,8CYNL63GAGUVB99R,7/22/2023 4:26,0,FALSE,1,99999,99999
5,Best brand for day and night,"I have to wear a wig and I gets tuns of complaints , I also sleep in mine !noricobis the best brand!!!",[],B00Q7N8J2A,B00Q7N8J2A,AGGHTXDDOEV5JXICUPTFL56LUYWA,9/8/2020 10:13,2,FALSE,1,99999,99999
1,"Hard to wash off, smells bad",I'm a pale redhead with lots of sunscreen experience. I bought a small bottle of Garden Goddess Sport and applied it to my arms Sautrsay morning. I've taken three showers since then and have really scrubbed my arms. But it is still there! I can still smell its unpleasant scent and I can see the whiteness of it. I can't really speak to have effective it was since I didn't end up being outside for very long. But I do know that I will never use this sunscreen again.,[],B000VOFNDE,B000VOFNDE,AHPEIB32Z2TYT2XTV4BFSBK3U5GA,4/24/2016 23:20,1,FALSE,1,99999,99999
5,fun,"Fun Stuff, real pretty for costume jewerly",[],B0107QYW14,B0107QYW14,AGVHMDTHYAA5OE6CKO4C3AQLTKCQ,6/26/2016 16:53,0,TRUE,1,99999,99999
1,Best ever,Exactly as described.,[],BO89AQ2VVJ,BO89AQ2VVJ,CUOVUAK4QGF45O5R,3/28/2023 10:40,0,FALSE,1,99999,99999
5,Perfect!,"My 4 year old daughter hates having her hair brushed because of her fine hair tangling like cotton candy. After many fights, crying spells, and &#34;Just forget it, your mom can do it when you go home!&#34; moments, I broke down and ordered the Mercier. The day it got here, she begged me to brush her hair. Plus, it's pink, her favorite color! Brushed from the tips, slowly working up 1&#34; at a time. No tears, no running, and only one &#34;ouch&#34; from daddy being rough. I cannot say enough good things about this magnificent brush!!!!!!",[],B00K0QV1QQ,B016LD3C04,AEO7NX4YMWIEEJ46XL7SZWOC3H7Q,8/2/2014 22:53,4,TRUE,1,99999,99999
5,Love it,Love the way they bring a little more style to my locs,[],B07RQGQPP5,B07RQGQPP5,AH2FEH73X677C3V63CSOKLTMD77Q,6/22/2020 18:20,0,TRUE,1,99999,99999
5,Easy beauty tool,This is my new fav product.,[],B07JKFGCXG,B07JKFGCXG,AFV3NYYWYKRWMV5FGI2VD3SM6DDQ,11/11/2018 23:46,0,TRUE,1,99999,99999
1,"This is not a lip stain as stated, it ...","This is not a lip stain as stated, it does not dry or set, it wipes off and does not stay on.",[],B00WAJ9HB2,B00WAJ9HB2,AGE5TYWOKB4FRPBICSRYVNZX5SAQ,10/9/2015 14:13,0,TRUE,0,99999,99999
5,Super Cute & Barely Slip,I normally can't wear all around the head handbands because my head is way too big. But these barely slip and the bow has wires in it to make positioning easier. Not to mention the variety of colors - I originally bought these for my sister but noticed how cute they were and bought some for myself and they did not disappoint!,[],B07H6YGKVJ,B09FP8PP2K,AHXFCPFRT4JM5S2JNKWQ7GV6RH7Q,8/23/2021 6:26,1,TRUE,0,99999,99999
